Tematica,fecha_mensual,Cantidad
HOMICIDIOS,01/01/2005,1481.00
HOMICIDIOS,01/02/2005,1314.00
HOMICIDIOS,01/03/2005,1357.00
HOMICIDIOS,01/04/2005,1378.00
HOMICIDIOS,01/05/2005,1492.00
HOMICIDIOS,01/06/2005,1368.00
HOMICIDIOS,01/07/2005,1457.00
HOMICIDIOS,01/08/2005,1455.00
HOMICIDIOS,01/09/2005,1330.00
HOMICIDIOS,01/10/2005,1391.00
HOMICIDIOS,01/11/2005,1352.00
HOMICIDIOS,01/12/2005,1513.00
HOMICIDIOS,01/01/2006,1336.00
HOMICIDIOS,01/02/2006,1222.00
HOMICIDIOS,01/03/2006,1255.00
HOMICIDIOS,01/04/2006,1290.00
HOMICIDIOS,01/05/2006,1179.00
HOMICIDIOS,01/06/2006,1299.00
HOMICIDIOS,01/07/2006,1432.00
HOMICIDIOS,01/08/2006,1353.00
HOMICIDIOS,01/09/2006,1283.00
HOMICIDIOS,01/10/2006,1367.00
HOMICIDIOS,01/11/2006,1362.00
HOMICIDIOS,01/12/2006,1492.00
HOMICIDIOS,01/01/2007,1410.00
HOMICIDIOS,01/02/2007,1259.00
HOMICIDIOS,01/03/2007,1247.00
HOMICIDIOS,01/04/2007,1160.00
HOMICIDIOS,01/05/2007,1391.00
HOMICIDIOS,01/06/2007,1349.00
HOMICIDIOS,01/07/2007,1360.00
HOMICIDIOS,01/08/2007,1166.00
HOMICIDIOS,01/09/2007,1226.00
HOMICIDIOS,01/10/2007,1084.00
HOMICIDIOS,01/11/2007,1276.00
HOMICIDIOS,01/12/2007,1323.00
HOMICIDIOS,01/01/2008,1352.00
HOMICIDIOS,01/02/2008,1148.00
HOMICIDIOS,01/03/2008,1184.00
HOMICIDIOS,01/04/2008,1157.00
HOMICIDIOS,01/05/2008,1198.00
HOMICIDIOS,01/06/2008,1250.00
HOMICIDIOS,01/07/2008,1268.00
HOMICIDIOS,01/08/2008,1268.00
HOMICIDIOS,01/09/2008,1243.00
HOMICIDIOS,01/10/2008,1235.00
HOMICIDIOS,01/11/2008,1200.00
HOMICIDIOS,01/12/2008,1249.00
HOMICIDIOS,01/01/2009,1216.00
HOMICIDIOS,01/02/2009,1124.00
HOMICIDIOS,01/03/2009,1303.00
HOMICIDIOS,01/04/2009,1269.00
HOMICIDIOS,01/05/2009,1291.00
HOMICIDIOS,01/06/2009,1224.00
HOMICIDIOS,01/07/2009,1344.00
HOMICIDIOS,01/08/2009,1346.00
HOMICIDIOS,01/09/2009,1202.00
HOMICIDIOS,01/10/2009,1381.00
HOMICIDIOS,01/11/2009,1336.00
HOMICIDIOS,01/12/2009,1286.00
HOMICIDIOS,01/01/2010,1270.00
HOMICIDIOS,01/02/2010,1122.00
HOMICIDIOS,01/03/2010,1133.00
HOMICIDIOS,01/04/2010,1190.00
HOMICIDIOS,01/05/2010,1310.00
HOMICIDIOS,01/06/2010,1190.00
HOMICIDIOS,01/07/2010,1301.00
HOMICIDIOS,01/08/2010,1311.00
HOMICIDIOS,01/09/2010,1222.00
HOMICIDIOS,01/10/2010,1294.00
HOMICIDIOS,01/11/2010,1324.00
HOMICIDIOS,01/12/2010,1202.00
